location,goods,price,price_factors,supply_volume,quality_grade,record_date
Ojodu,Onions,221.53,Transportation Cost,High,Grade A (Fresh),2023-10-14
Dugbe,Maize,402.04,Government Policies,Moderate,Grade B (Average),2023-09-26
Agodi GRA,Fish (Fresh),1359.13,Exchange Rate Fluctuation,Low,Grade B (Average),2023-03-01
Molete,Ginger,1638.96,Market Competition,Moderate,Grade B (Average),2023-10-17
Ojodu,Pineapple,346.89,Transportation Cost,Low,Grade B (Average),2023-03-15
Oke Ado,Cucumber,183.25,Storage Limitations,High,Grade A (Fresh),2023-08-01
Ajah,Tomatoes,835.97,Government Policies,High,Grade A (Fresh),2023-10-20
Festac Town,Cabbage,346.57,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-02-14
Anthony Village,Ginger,872.68,Government Policies,Moderate,Grade C (Below Average),2023-06-22
Ikeja,Okra,224.98,Storage Limitations,Moderate,Grade B (Average),2023-12-19
Ajah,Watermelon,624.54,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-08-07
UI (University of Ibadan),Watermelon,522.49,Storage Limitations,Moderate,Grade A (Fresh),2023-03-01
Sango,Sweet Potatoes,293.28,Seasonal Availability,Moderate,Grade B (Average),2024-02-15
Egbeda,Pepper,594.82,Market Competition,High,Grade A (Fresh),2023-05-27
Challenge,Lettuce,504.06,Demand Surge,Moderate,Grade A (Fresh),2024-02-07
Festac Town,Ginger,1310.98,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-05-22
Oke Bola,Sweet Potatoes,407.24,Pest/Disease Outbreak,High,Grade B (Average),2023-11-02
Ojoo,Mangoes,327.83,Seasonal Availability,Low,Grade B (Average),2023-12-03
Surulere,Maize,529.98,Transportation Cost,Moderate,Grade A (Fresh),2023-08-22
Ajah,Ginger,1823.25,Fuel Price Hike,Low,Grade C (Below Average),2024-02-06
Ikorodu,Potatoes,503.27,Demand Surge,High,Grade A (Fresh),2024-03-02
Gbagada,Onions,483.42,Storage Limitations,Low,Grade A (Fresh),2023-08-29
Apata,Carrots,614.4,Government Policies,Low,Grade C (Below Average),2023-06-10
Festac Town,Mangoes,298.58,Government Policies,Moderate,Grade A (Fresh),2023-06-18
Bashorun,Cucumber,178.7,Seasonal Availability,Moderate,Grade A (Fresh),2024-01-05
Amuwo Odofin,Maize,386.98,Market Competition,Moderate,Grade A (Fresh),2023-06-23
Monatan,Oranges,191.69,Weather Conditions,High,Grade B (Average),2023-07-10
Badagry,Cucumber,323.63,Demand Surge,Moderate,Grade A (Fresh),2023-06-13
Iwo Road,Pepper,1589.79,Seasonal Availability,Scarce,Grade A (Fresh),2023-11-05
Ikorodu,Pepper,1498.24,Weather Conditions,High,Grade B (Average),2023-03-15
Oshodi,Pineapple,445.13,Pest/Disease Outbreak,Low,Grade B (Average),2023-12-31
Ogba,Watermelon,1973.0,Exchange Rate Fluctuation,High,Grade B (Average),2023-09-16
Molete,Chicken (Live),5433.07,Fuel Price Hike,Low,Grade B (Average),2023-10-19
Oke Ado,Carrots,528.67,Fuel Price Hike,Scarce,Grade A (Fresh),2023-10-30
Molete,Onions,662.22,Pest/Disease Outbreak,Scarce,Grade C (Below Average),2023-05-20
Ikeja,Oranges,118.14,Transportation Cost,Low,Grade A (Fresh),2023-07-16
Epe,Fish (Fresh),4290.09,Demand Surge,High,Grade A (Fresh),2024-01-16
Festac Town,Cabbage,515.93,Government Policies,High,Grade B (Average),2023-05-01
Amuwo Odofin,Ginger,3274.42,Demand Surge,High,Grade B (Average),2024-03-22
Amuwo Odofin,Garlic,2210.89,Seasonal Availability,High,Grade B (Average),2023-05-06
Ring Road (Central Ibadan),Watermelon,1140.24,Weather Conditions,High,Grade A (Fresh),2024-03-19
Akobo,Pineapple,1263.83,Fuel Price Hike,Low,Grade B (Average),2023-08-22
Agodi GRA,Mangoes,942.64,Demand Surge,High,Grade A (Fresh),2024-01-26
Ikeja,Rice,1958.8,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-10-26
UI (University of Ibadan),Sweet Potatoes,476.93,Market Competition,High,Grade A (Fresh),2023-06-05
Ketu,Onions,497.22,Seasonal Availability,Low,Grade A (Fresh),2023-02-12
Amuwo Odofin,Maize,692.05,Exchange Rate Fluctuation,Low,Grade B (Average),2023-05-14
Dugbe,Chicken (Live),9812.45,Demand Surge,Moderate,Grade C (Below Average),2023-02-21
Ojoo,Mangoes,521.48,Demand Surge,High,Grade B (Average),2023-05-12
Apapa,Yam,962.02,Pest/Disease Outbreak,High,Grade B (Average),2023-08-19
Oke Ado,Banana,463.55,Government Policies,High,Grade A (Fresh),2024-01-29
Festac Town,Cabbage,428.29,Exchange Rate Fluctuation,Scarce,Grade B (Average),2024-03-01
Ologuneru,Oranges,59.0,Pest/Disease Outbreak,High,Grade A (Fresh),2023-05-19
Festac Town,Carrots,660.5,Market Competition,Moderate,Grade A (Fresh),2024-03-21
Challenge,Pineapple,673.93,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-01-13
Badagry,Pepper,942.95,Storage Limitations,Scarce,Grade A (Fresh),2023-11-19
Akobo,Cucumber,422.86,Demand Surge,Moderate,Grade A (Fresh),2023-10-25
Anthony Village,Mangoes,375.82,Demand Surge,Moderate,Grade B (Average),2023-08-31
Ojoo,Plantain,835.04,Government Policies,Low,Grade B (Average),2023-08-21
Ikorodu,Mangoes,360.84,Seasonal Availability,Moderate,Grade A (Fresh),2024-02-16
Apata,Tomatoes,318.76,Storage Limitations,Low,Grade A (Fresh),2023-09-19
Epe,Banana,124.27,Transportation Cost,Moderate,Grade A (Fresh),2023-08-10
UI (University of Ibadan),Plantain,232.36,Weather Conditions,Moderate,Grade A (Fresh),2024-01-25
Surulere,Cabbage,980.31,Demand Surge,Scarce,Grade B (Average),2023-07-21
Agodi GRA,Spinach,343.69,Government Policies,High,Grade B (Average),2023-12-25
Dugbe,Plantain,492.73,Storage Limitations,High,Grade A (Fresh),2023-05-31
Festac Town,Chicken (Live),3528.36,Government Policies,High,Grade B (Average),2023-06-24
Mushin,Pineapple,1139.24,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-04-27
Ikoyi,Mangoes,470.26,Weather Conditions,High,Grade C (Below Average),2023-02-14
UI (University of Ibadan),Plantain,276.0,Demand Surge,High,Grade A (Fresh),2023-04-27
Agege,Fish (Fresh),3143.73,Pest/Disease Outbreak,High,Grade B (Average),2023-07-21
Jericho,Garlic,2011.97,Storage Limitations,High,Grade A (Fresh),2023-04-30
Agodi GRA,Fish (Fresh),2129.95,Fuel Price Hike,Moderate,Grade B (Average),2023-12-30
Jericho,Onions,485.04,Fuel Price Hike,Moderate,Grade B (Average),2023-09-26
Egbeda,Pineapple,618.84,Transportation Cost,High,Grade A (Fresh),2023-01-20
Badagry,Beans,1132.66,Storage Limitations,Low,Grade A (Fresh),2023-08-27
Ojoo,Cabbage,793.25,Demand Surge,Moderate,Grade B (Average),2024-01-12
Anthony Village,Spinach,161.57,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-02-15
Amuwo Odofin,Plantain,396.07,Pest/Disease Outbreak,High,Grade A (Fresh),2023-07-13
Molete,Tomatoes,858.63,Storage Limitations,High,Grade B (Average),2023-03-03
Ikorodu,Spinach,263.62,Weather Conditions,Moderate,Grade A (Fresh),2024-01-21
Ikorodu,Cucumber,399.96,Pest/Disease Outbreak,High,Grade A (Fresh),2023-02-02
Alimosho,Yam,1246.38,Exchange Rate Fluctuation,Scarce,Grade A (Fresh),2023-06-29
Monatan,Beans,863.75,Demand Surge,High,Grade C (Below Average),2023-08-13
Ajah,Oranges,268.38,Transportation Cost,Low,Grade B (Average),2023-10-16
Surulere,Plantain,885.18,Pest/Disease Outbreak,High,Grade B (Average),2023-08-09
Ketu,Ginger,996.4,Storage Limitations,Moderate,Grade A (Fresh),2024-02-15
UI (University of Ibadan),Okra,939.39,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-05-03
Bashorun,Spinach,432.87,Demand Surge,High,Grade A (Fresh),2023-11-08
Ring Road (Central Ibadan),Carrots,720.3,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-09-10
Eleyele,Yam,722.22,Storage Limitations,High,Grade B (Average),2024-03-07
Oke Ado,Lettuce,230.21,Pest/Disease Outbreak,High,Grade A (Fresh),2023-11-06
Orita-Challenge,Beans,838.76,Pest/Disease Outbreak,High,Grade A (Fresh),2023-10-06
Ajah,Okra,243.8,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2024-03-13
Bodija,Garlic,3799.99,Seasonal Availability,Scarce,Grade A (Fresh),2023-07-05
Oluyole Estate,Pineapple,1803.87,Demand Surge,High,Grade B (Average),2023-01-19
UI (University of Ibadan),Garlic,3492.66,Weather Conditions,Moderate,Grade B (Average),2024-01-26
Maryland,Yam,949.74,Demand Surge,High,Grade A (Fresh),2023-04-12
Badagry,Plantain,894.98,Pest/Disease Outbreak,Low,Grade C (Below Average),2023-05-20
Ologuneru,Maize,351.71,Government Policies,High,Grade A (Fresh),2024-01-29
Anthony Village,Tomatoes,872.1,Storage Limitations,High,Grade B (Average),2023-02-03
Amuwo Odofin,Fish (Fresh),3925.27,Storage Limitations,Moderate,Grade A (Fresh),2023-11-30
Epe,Banana,220.37,Pest/Disease Outbreak,High,Grade B (Average),2023-02-07
Ojodu,Carrots,418.56,Weather Conditions,High,Grade C (Below Average),2023-11-22
Victoria Island (VI),Watermelon,3085.6,Fuel Price Hike,Moderate,Grade C (Below Average),2023-04-09
Ring Road (Central Ibadan),Okra,644.84,Seasonal Availability,Low,Grade B (Average),2023-05-21
Ojoo,Fish (Fresh),3154.2,Seasonal Availability,Moderate,Grade B (Average),2024-03-25
Dugbe,Fish (Fresh),4015.71,Demand Surge,High,Grade B (Average),2023-03-27
Ikorodu,Sweet Potatoes,621.99,Transportation Cost,Moderate,Grade A (Fresh),2023-09-20
Ikeja,Pineapple,454.9,Transportation Cost,High,Grade A (Fresh),2023-01-06
Samonda,Sweet Potatoes,282.49,Seasonal Availability,Moderate,Grade A (Fresh),2023-06-25
Egbeda,Beans,880.65,Storage Limitations,High,Grade A (Fresh),2023-02-10
Maryland,Sweet Potatoes,473.65,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-11-04
Ikoyi,Potatoes,677.39,Exchange Rate Fluctuation,High,Grade B (Average),2023-08-12
Ring Road (Central Ibadan),Maize,648.46,Transportation Cost,Moderate,Grade B (Average),2024-03-10
Agodi GRA,Garlic,4989.85,Fuel Price Hike,High,Grade A (Fresh),2023-03-02
Surulere,Oranges,76.23,Seasonal Availability,High,Grade A (Fresh),2023-10-18
Ikorodu,Sweet Potatoes,658.52,Transportation Cost,Moderate,Grade B (Average),2023-06-20
Jericho,Spinach,503.74,Fuel Price Hike,Moderate,Grade A (Fresh),2023-02-23
Dugbe,Ginger,2029.03,Transportation Cost,Scarce,Grade B (Average),2023-08-03
Monatan,Beans,508.1,Government Policies,Low,Grade A (Fresh),2023-03-08
Orita-Challenge,Cucumber,405.33,Market Competition,High,Grade A (Fresh),2023-06-27
Maryland,Yam,1892.33,Fuel Price Hike,Moderate,Grade C (Below Average),2023-11-19
Dugbe,Potatoes,399.3,Weather Conditions,Scarce,Grade C (Below Average),2024-01-04
Ijegun,Beans,948.08,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-09-24
Sango,Chicken (Live),3527.6,Seasonal Availability,Scarce,Grade A (Fresh),2023-07-02
Ketu,Plantain,658.73,Government Policies,High,Grade B (Average),2023-06-14
Victoria Island (VI),Potatoes,510.38,Weather Conditions,High,Grade A (Fresh),2023-08-13
Ajah,Fish (Fresh),3548.25,Government Policies,Moderate,Grade A (Fresh),2023-02-09
Ring Road (Central Ibadan),Onions,601.64,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-12-09
Ologuneru,Onions,776.44,Demand Surge,Low,Grade A (Fresh),2023-01-29
Agege,Mangoes,264.54,Government Policies,High,Grade A (Fresh),2023-05-04
Agbowo,Onions,348.74,Weather Conditions,High,Grade A (Fresh),2023-08-30
Apata,Chicken (Live),5998.16,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-12-12
Ajah,Onions,547.67,Demand Surge,Low,Grade A (Fresh),2023-08-26
Ikeja,Yam,685.74,Market Competition,Scarce,Grade A (Fresh),2023-02-13
Oshodi,Rice,1977.45,Storage Limitations,Scarce,Grade B (Average),2023-12-24
Ring Road (Central Ibadan),Maize,483.49,Transportation Cost,Moderate,Grade C (Below Average),2023-05-08
Molete,Banana,174.28,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-10-21
Ketu,Oranges,133.59,Weather Conditions,Moderate,Grade B (Average),2023-04-17
Molete,Beans,792.12,Seasonal Availability,High,Grade B (Average),2023-02-28
Yaba,Okra,871.33,Government Policies,Moderate,Grade C (Below Average),2023-02-04
Eleyele,Okra,563.94,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-03-26
Ojoo,Oranges,84.76,Exchange Rate Fluctuation,High,Grade C (Below Average),2023-09-06
Gbagada,Cucumber,474.22,Pest/Disease Outbreak,High,Grade A (Fresh),2023-04-21
Anthony Village,Beans,2022.89,Fuel Price Hike,High,Grade C (Below Average),2024-02-23
Egbeda,Chicken (Live),3279.53,Transportation Cost,Low,Grade A (Fresh),2023-09-06
Iwo Road,Lettuce,275.66,Pest/Disease Outbreak,High,Grade A (Fresh),2023-05-20
Ijegun,Oranges,150.63,Government Policies,High,Grade B (Average),2023-08-11
Ologuneru,Cabbage,483.64,Seasonal Availability,Moderate,Grade A (Fresh),2023-09-19
Festac Town,Lettuce,1346.67,Fuel Price Hike,Moderate,Grade A (Fresh),2024-02-22
Maryland,Oranges,314.9,Fuel Price Hike,High,Grade A (Fresh),2023-08-02
Badagry,Chicken (Live),8574.7,Fuel Price Hike,High,Grade B (Average),2023-05-18
Amuwo Odofin,Fish (Fresh),3168.39,Storage Limitations,Low,Grade A (Fresh),2023-07-13
Ketu,Potatoes,882.9,Fuel Price Hike,Moderate,Grade A (Fresh),2023-08-13
Alimosho,Sweet Potatoes,429.7,Weather Conditions,High,Grade A (Fresh),2023-06-10
Amuwo Odofin,Rice,957.93,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2024-01-31
Bodija,Okra,782.71,Weather Conditions,High,Grade A (Fresh),2023-12-06
Egbeda,Lettuce,521.75,Pest/Disease Outbreak,Scarce,Grade A (Fresh),2023-08-25
Mokola,Lettuce,359.45,Government Policies,Moderate,Grade B (Average),2023-01-25
Festac Town,Mangoes,430.21,Fuel Price Hike,Moderate,Grade A (Fresh),2023-12-04
Molete,Oranges,65.71,Seasonal Availability,Low,Grade B (Average),2023-12-03
Ketu,Cabbage,307.8,Market Competition,Moderate,Grade A (Fresh),2023-04-26
Yaba,Ginger,3618.2,Demand Surge,Moderate,Grade B (Average),2023-08-08
Mokola,Rice,905.34,Pest/Disease Outbreak,High,Grade A (Fresh),2023-04-18
Ikeja,Yam,1285.09,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-06-23
Victoria Island (VI),Tomatoes,735.4,Government Policies,Low,Grade B (Average),2024-02-15
Badagry,Onions,434.38,Transportation Cost,Moderate,Grade C (Below Average),2023-04-21
Festac Town,Banana,173.33,Demand Surge,Moderate,Grade A (Fresh),2023-10-09
Apapa,Pepper,1136.25,Government Policies,Moderate,Grade A (Fresh),2023-07-14
Ojodu,Cabbage,397.22,Demand Surge,High,Grade A (Fresh),2023-03-23
Victoria Island (VI),Mangoes,317.6,Weather Conditions,High,Grade A (Fresh),2023-03-25
Challenge,Rice,813.39,Exchange Rate Fluctuation,Scarce,Grade A (Fresh),2023-05-03
Akobo,Sweet Potatoes,359.21,Market Competition,Scarce,Grade A (Fresh),2023-08-19
Victoria Island (VI),Carrots,992.85,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-04-22
Oshodi,Yam,696.19,Transportation Cost,High,Grade A (Fresh),2023-03-03
Ologuneru,Pineapple,431.43,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-07-15
Bashorun,Carrots,836.51,Storage Limitations,Scarce,Grade A (Fresh),2023-09-25
Dugbe,Cucumber,261.5,Pest/Disease Outbreak,High,Grade C (Below Average),2023-01-12
Egbeda,Banana,199.66,Transportation Cost,Low,Grade B (Average),2024-02-24
Agbowo,Oranges,101.84,Weather Conditions,Scarce,Grade B (Average),2023-02-03
Apapa,Spinach,250.15,Weather Conditions,High,Grade A (Fresh),2024-01-05
Eleyele,Spinach,379.08,Demand Surge,Moderate,Grade A (Fresh),2023-10-05
Ketu,Tomatoes,1181.44,Pest/Disease Outbreak,Scarce,Grade B (Average),2023-02-04
Monatan,Lettuce,354.06,Fuel Price Hike,Scarce,Grade A (Fresh),2023-01-22
Ikoyi,Oranges,273.75,Exchange Rate Fluctuation,Low,Grade B (Average),2023-01-08
Victoria Island (VI),Garlic,3055.28,Transportation Cost,Moderate,Grade B (Average),2023-04-23
Ikoyi,Maize,799.32,Transportation Cost,Low,Grade A (Fresh),2023-02-17
Oluyole Estate,Pineapple,1083.44,Market Competition,Scarce,Grade A (Fresh),2023-05-11
Epe,Rice,1238.34,Market Competition,Moderate,Grade A (Fresh),2023-01-27
Sango,Ginger,3232.75,Demand Surge,High,Grade A (Fresh),2023-06-23
Akobo,Sweet Potatoes,528.45,Storage Limitations,High,Grade A (Fresh),2023-03-08
Ajah,Rice,1503.1,Weather Conditions,High,Grade B (Average),2023-08-17
Apapa,Onions,1248.26,Fuel Price Hike,High,Grade A (Fresh),2023-07-09
Agodi GRA,Banana,216.97,Demand Surge,High,Grade A (Fresh),2023-07-23
Victoria Island (VI),Pineapple,1066.03,Market Competition,High,Grade A (Fresh),2023-10-01
Yaba,Ginger,808.64,Pest/Disease Outbreak,High,Grade B (Average),2023-11-12
Lekki,Onions,410.16,Demand Surge,High,Grade A (Fresh),2023-03-18
Ketu,Mangoes,431.56,Weather Conditions,Scarce,Grade B (Average),2024-01-31
Bodija,Cucumber,558.78,Seasonal Availability,Moderate,Grade C (Below Average),2023-11-29
Ogba,Carrots,1432.35,Fuel Price Hike,High,Grade A (Fresh),2023-10-04
Ketu,Cabbage,886.23,Fuel Price Hike,Scarce,Grade A (Fresh),2023-12-25
Ikoyi,Pineapple,529.89,Market Competition,Scarce,Grade B (Average),2023-11-19
Ojodu,Rice,1656.99,Seasonal Availability,Moderate,Grade A (Fresh),2023-07-29
Oke Bola,Pineapple,917.24,Seasonal Availability,Moderate,Grade A (Fresh),2023-04-11
Egbeda,Rice,1900.31,Fuel Price Hike,Low,Grade A (Fresh),2024-01-20
Badagry,Sweet Potatoes,264.74,Market Competition,Moderate,Grade A (Fresh),2023-06-21
Ojoo,Mangoes,298.28,Market Competition,High,Grade B (Average),2023-02-05
Ketu,Maize,781.33,Storage Limitations,Moderate,Grade B (Average),2023-08-19
Ojodu,Cucumber,227.83,Transportation Cost,High,Grade C (Below Average),2024-02-27
Iwo Road,Spinach,441.22,Seasonal Availability,Scarce,Grade A (Fresh),2024-01-19
Oke Ado,Ginger,2638.35,Storage Limitations,Scarce,Grade A (Fresh),2023-03-23
Magodo,Chicken (Live),6156.18,Government Policies,Moderate,Grade A (Fresh),2023-10-10
Oluyole Estate,Onions,447.39,Storage Limitations,High,Grade B (Average),2023-08-21
Anthony Village,Carrots,902.43,Weather Conditions,Low,Grade A (Fresh),2023-06-12
Ring Road (Central Ibadan),Rice,595.04,Transportation Cost,High,Grade A (Fresh),2023-06-04
Ring Road (Central Ibadan),Cabbage,172.8,Transportation Cost,High,Grade B (Average),2023-02-11
Mokola,Sweet Potatoes,496.81,Pest/Disease Outbreak,Low,Grade B (Average),2023-10-23
Sango,Carrots,564.58,Market Competition,Moderate,Grade B (Average),2024-03-30
Orita-Challenge,Onions,236.25,Storage Limitations,Moderate,Grade A (Fresh),2023-01-21
Oke Ado,Spinach,275.77,Government Policies,Moderate,Grade A (Fresh),2023-02-21
Ikeja,Tomatoes,1453.42,Demand Surge,Moderate,Grade A (Fresh),2024-03-24
Jericho,Plantain,377.5,Weather Conditions,High,Grade A (Fresh),2023-11-07
Ojodu,Ginger,4471.57,Fuel Price Hike,Low,Grade B (Average),2023-06-09
Apata,Fish (Fresh),4113.19,Government Policies,High,Grade A (Fresh),2023-05-05
Agege,Watermelon,2412.13,Government Policies,Moderate,Grade B (Average),2023-12-26
Sango,Mangoes,560.78,Weather Conditions,Moderate,Grade A (Fresh),2024-02-19
Akobo,Garlic,1355.53,Market Competition,High,Grade B (Average),2023-07-17
Ketu,Garlic,4078.68,Demand Surge,Low,Grade A (Fresh),2023-09-20
Dugbe,Yam,712.37,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-09-12
Ketu,Cabbage,285.9,Transportation Cost,Low,Grade A (Fresh),2023-07-07
Apapa,Beans,1464.19,Pest/Disease Outbreak,Moderate,Grade B (Average),2023-06-20
Bodija,Pepper,1113.91,Pest/Disease Outbreak,Low,Grade A (Fresh),2024-01-15
Monatan,Oranges,66.69,Transportation Cost,High,Grade A (Fresh),2023-05-04
Ojodu,Sweet Potatoes,736.83,Market Competition,Low,Grade B (Average),2023-03-21
Maryland,Onions,231.26,Market Competition,Moderate,Grade A (Fresh),2023-05-18
Eleyele,Ginger,1196.22,Market Competition,Moderate,Grade A (Fresh),2024-01-13
Mokola,Okra,492.4,Market Competition,High,Grade A (Fresh),2023-07-26
Agege,Okra,483.99,Storage Limitations,Moderate,Grade B (Average),2023-05-08
Egbeda,Onions,280.26,Transportation Cost,High,Grade A (Fresh),2023-07-19
Ojodu,Watermelon,1301.84,Weather Conditions,Moderate,Grade A (Fresh),2023-04-21
Surulere,Beans,1370.97,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-11-27
Epe,Lettuce,624.84,Government Policies,High,Grade A (Fresh),2024-03-27
Maryland,Pineapple,424.08,Storage Limitations,High,Grade A (Fresh),2023-07-29
Egbeda,Potatoes,645.96,Market Competition,Low,Grade B (Average),2023-12-05
Ologuneru,Lettuce,356.99,Transportation Cost,High,Grade A (Fresh),2023-01-30
Amuwo Odofin,Carrots,271.41,Seasonal Availability,Moderate,Grade A (Fresh),2023-06-22
Oke Ado,Pineapple,476.59,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-07-04
Ijegun,Maize,535.85,Weather Conditions,Moderate,Grade A (Fresh),2023-04-05
Mokola,Okra,936.27,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-05-22
Ikeja,Potatoes,291.25,Government Policies,High,Grade A (Fresh),2024-02-16
Anthony Village,Mangoes,107.23,Government Policies,Scarce,Grade A (Fresh),2023-08-06
Sango,Spinach,279.84,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-03-24
Oke Ado,Ginger,2896.04,Transportation Cost,Low,Grade A (Fresh),2023-06-30
Eleyele,Tomatoes,724.69,Seasonal Availability,High,Grade B (Average),2023-01-27
Ojoo,Pepper,1198.97,Demand Surge,Moderate,Grade A (Fresh),2023-08-03
Mushin,Banana,113.27,Storage Limitations,Moderate,Grade B (Average),2023-05-10
Magodo,Plantain,752.83,Demand Surge,Low,Grade A (Fresh),2023-12-16
Alimosho,Pepper,733.86,Weather Conditions,Low,Grade C (Below Average),2023-11-15
Iwo Road,Banana,387.5,Pest/Disease Outbreak,High,Grade B (Average),2023-02-10
Magodo,Rice,1343.55,Market Competition,High,Grade A (Fresh),2023-05-24
Challenge,Oranges,150.44,Storage Limitations,High,Grade A (Fresh),2023-03-12
Ojodu,Tomatoes,621.62,Storage Limitations,Moderate,Grade A (Fresh),2023-09-17
Amuwo Odofin,Beans,999.53,Demand Surge,Low,Grade C (Below Average),2024-02-07
Ijegun,Watermelon,1476.29,Transportation Cost,Moderate,Grade A (Fresh),2024-01-09
Akobo,Chicken (Live),10438.59,Seasonal Availability,High,Grade C (Below Average),2023-03-21
Ring Road (Central Ibadan),Okra,679.14,Seasonal Availability,Moderate,Grade B (Average),2023-02-01
Ojoo,Banana,250.84,Weather Conditions,High,Grade A (Fresh),2023-04-10
Ojoo,Ginger,1100.19,Government Policies,Low,Grade B (Average),2023-10-09
Maryland,Sweet Potatoes,523.18,Demand Surge,Moderate,Grade A (Fresh),2023-09-30
Alimosho,Potatoes,791.94,Government Policies,Moderate,Grade A (Fresh),2023-03-15
Oke Bola,Okra,519.98,Transportation Cost,Scarce,Grade A (Fresh),2023-09-18
Jericho,Lettuce,539.85,Weather Conditions,Moderate,Grade A (Fresh),2023-01-17
Challenge,Spinach,328.0,Market Competition,Low,Grade A (Fresh),2023-03-02
Oluyole Estate,Banana,214.86,Storage Limitations,High,Grade A (Fresh),2023-12-11
Agbowo,Cabbage,563.44,Transportation Cost,Moderate,Grade A (Fresh),2024-03-07
Challenge,Chicken (Live),4479.04,Storage Limitations,Moderate,Grade B (Average),2023-01-18
Bashorun,Yam,1167.44,Weather Conditions,Moderate,Grade B (Average),2024-01-28
Apapa,Beans,1153.37,Government Policies,Low,Grade A (Fresh),2023-01-08
Surulere,Tomatoes,1261.12,Seasonal Availability,Scarce,Grade B (Average),2023-09-02
Apapa,Mangoes,504.69,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-05-06
Bodija,Pineapple,1138.95,Demand Surge,Moderate,Grade A (Fresh),2024-01-20
Iwo Road,Maize,721.09,Transportation Cost,Moderate,Grade B (Average),2023-06-07
Alimosho,Garlic,2740.42,Government Policies,High,Grade B (Average),2023-08-21
Ologuneru,Fish (Fresh),2807.37,Demand Surge,High,Grade B (Average),2023-12-05
Maryland,Chicken (Live),9218.38,Government Policies,Moderate,Grade B (Average),2023-01-18
Ikoyi,Onions,881.82,Fuel Price Hike,Moderate,Grade B (Average),2023-02-06
Agege,Potatoes,601.91,Demand Surge,Moderate,Grade C (Below Average),2023-07-25
Molete,Okra,529.05,Fuel Price Hike,Low,Grade A (Fresh),2023-04-09
Surulere,Carrots,614.01,Market Competition,Moderate,Grade A (Fresh),2023-06-14
Festac Town,Cabbage,649.38,Storage Limitations,Low,Grade B (Average),2023-10-21
Agodi GRA,Potatoes,561.37,Seasonal Availability,High,Grade A (Fresh),2023-03-21
Ojodu,Beans,989.22,Market Competition,High,Grade C (Below Average),2023-05-15
Sango,Garlic,1264.29,Weather Conditions,High,Grade A (Fresh),2024-02-06
Samonda,Rice,1429.52,Transportation Cost,Moderate,Grade C (Below Average),2023-03-10
Ikoyi,Watermelon,1329.86,Pest/Disease Outbreak,Low,Grade B (Average),2023-08-23
Monatan,Potatoes,321.69,Storage Limitations,Low,Grade B (Average),2023-09-13
Agbowo,Maize,698.26,Market Competition,High,Grade A (Fresh),2023-06-21
Alimosho,Potatoes,1005.39,Fuel Price Hike,High,Grade B (Average),2023-11-06
Ikeja,Spinach,243.09,Seasonal Availability,High,Grade A (Fresh),2024-01-15
Jericho,Carrots,765.54,Storage Limitations,Moderate,Grade A (Fresh),2023-05-06
Ologuneru,Chicken (Live),5351.14,Seasonal Availability,High,Grade A (Fresh),2023-07-06
Agbowo,Banana,698.07,Demand Surge,High,Grade A (Fresh),2023-02-22
Maryland,Onions,425.62,Transportation Cost,High,Grade A (Fresh),2023-08-04
Epe,Okra,631.5,Government Policies,Moderate,Grade B (Average),2023-02-27
Festac Town,Oranges,266.7,Fuel Price Hike,High,Grade A (Fresh),2024-01-13
Agbowo,Cucumber,403.71,Storage Limitations,Moderate,Grade B (Average),2023-10-02
Badagry,Rice,1366.0,Demand Surge,Moderate,Grade A (Fresh),2023-11-22
Samonda,Watermelon,2828.6,Demand Surge,Moderate,Grade B (Average),2024-02-20
Agodi GRA,Pineapple,1349.17,Demand Surge,Scarce,Grade A (Fresh),2023-11-05
Agege,Sweet Potatoes,570.11,Exchange Rate Fluctuation,Scarce,Grade A (Fresh),2023-09-08
